date,open,high,low,close,volume,average,barCount
2020-06-23 13:49:00,24535.0,24535.0,24522.0,24524.0,31,24527.2,13
2020-06-23 13:50:00,24528.0,24533.0,24528.0,24533.0,42,24529.6,8
2020-06-23 13:51:00,24535.0,24535.0,24525.0,24525.0,22,24532.1,6
2020-06-23 13:52:00,24524.0,24525.0,24521.0,24523.0,26,24523.0,9
2020-06-23 13:53:00,24526.0,24526.0,24509.0,24509.0,43,24521.0,7
2020-06-23 13:54:00,24514.0,24514.0,24514.0,24514.0,5,24514.0,1
2020-06-23 13:55:00,24512.0,24513.0,24500.0,24512.0,21,24507.8,9
2020-06-23 13:56:00,24513.0,24513.0,24497.0,24505.0,57,24509.7,12
2020-06-23 13:57:00,24506.0,24512.0,24506.0,24510.0,20,24510.1,13
2020-06-23 13:58:00,24504.0,24505.0,24491.0,24505.0,117,24498.9,44
2020-06-23 13:59:00,24505.0,24510.0,24501.0,24501.0,23,24505.8,9
2020-06-23 14:00:00,24500.0,24513.0,24488.0,24513.0,36,24496.2,17
2020-06-23 14:01:00,24513.0,24515.0,24492.0,24492.0,76,24506.3,22
2020-06-23 14:02:00,24486.0,24486.0,24476.0,24483.0,20,24481.7,9
2020-06-23 14:03:00,24487.0,24505.0,24486.0,24504.0,63,24498.5,13
2020-06-23 14:04:00,24501.0,24501.0,24487.0,24491.0,36,24491.8,9
2020-06-23 14:05:00,24512.0,24525.0,24512.0,24517.0,30,24522.0,15
2020-06-23 14:06:00,24514.0,24523.0,24514.0,24519.0,22,24520.0,13
2020-06-23 14:07:00,24520.0,24535.0,24519.0,24532.0,47,24524.2,17
2020-06-23 14:08:00,24539.0,24547.0,24534.0,24536.0,29,24543.1,16
2020-06-23 14:09:00,24525.0,24536.0,24523.0,24536.0,16,24526.2,8
2020-06-23 14:10:00,24541.0,24543.0,24534.0,24540.0,53,24538.8,8
2020-06-23 14:11:00,24535.0,24545.0,24535.0,24540.0,23,24539.5,10
2020-06-23 14:12:00,24540.0,24544.0,24540.0,24544.0,66,24540.4,6
2020-06-23 14:13:00,24542.0,24549.0,24541.0,24549.0,41,24542.7,7
2020-06-23 14:14:00,24553.0,24553.0,24541.0,24543.0,18,24546.4,9
2020-06-23 14:15:00,24540.0,24566.0,24540.0,24556.0,33,24552.3,13
2020-06-23 14:16:00,24561.0,24566.0,24549.0,24554.0,68,24556.2,13
2020-06-23 14:17:00,24556.0,24556.0,24547.0,24548.0,249,24555.1,7
2020-06-23 14:18:00,24545.0,24549.0,24545.0,24549.0,14,24548.1,2
2020-06-23 14:19:00,24553.0,24553.0,24545.0,24552.0,35,24551.8,6
2020-06-23 14:20:00,24553.0,24554.0,24550.0,24554.0,21,24552.0,8
2020-06-23 14:21:00,24552.0,24552.0,24548.0,24551.0,12,24549.5,5
2020-06-23 14:22:00,24549.0,24552.0,24549.0,24549.0,30,24549.3,3
2020-06-23 14:23:00,24552.0,24554.0,24550.0,24550.0,17,24551.3,5
2020-06-23 14:24:00,24556.0,24560.0,24554.0,24556.0,48,24557.6,9
2020-06-23 14:25:00,24556.0,24556.0,24549.0,24549.0,13,24552.8,6
2020-06-23 14:26:00,24552.0,24552.0,24549.0,24549.0,15,24550.3,7
2020-06-23 14:27:00,24549.0,24553.0,24549.0,24553.0,48,24551.5,13
2020-06-23 14:28:00,24545.0,24545.0,24541.0,24541.0,20,24542.4,8
2020-06-23 14:29:00,24543.0,24548.0,24543.0,24548.0,13,24545.2,3
2020-06-23 14:30:00,24540.0,24552.0,24540.0,24552.0,59,24547.6,10
2020-06-23 14:31:00,24561.0,24566.0,24560.0,24565.0,22,24562.3,7
2020-06-23 14:32:00,24563.0,24576.0,24563.0,24571.0,26,24570.5,10
2020-06-23 14:33:00,24580.0,24589.0,24580.0,24589.0,37,24583.1,7
2020-06-23 14:34:00,24590.0,24598.0,24589.0,24598.0,23,24593.9,8
2020-06-23 14:35:00,24596.0,24599.0,24595.0,24597.0,94,24595.8,9
2020-06-23 14:36:00,24600.0,24600.0,24599.0,24599.0,31,24599.1,6
2020-06-23 14:37:00,24600.0,24600.0,24593.0,24595.0,18,24596.7,8
2020-06-23 14:38:00,24598.0,24607.0,24598.0,24605.0,8,24600.9,5
2020-06-23 14:39:00,24602.0,24602.0,24589.0,24591.0,41,24596.9,9
2020-06-23 14:40:00,24592.0,24594.0,24589.0,24594.0,110,24590.6,8
2020-06-23 14:41:00,24586.0,24586.0,24584.0,24584.0,7,24584.9,2
2020-06-23 14:42:00,24576.0,24576.0,24572.0,24572.0,27,24575.4,2
2020-06-23 14:43:00,24566.0,24573.0,24566.0,24573.0,9,24570.3,3
2020-06-23 14:44:00,24567.0,24578.0,24567.0,24576.0,29,24573.9,12
2020-06-23 14:45:00,24573.0,24588.0,24573.0,24583.0,43,24578.4,12
2020-06-23 14:46:00,24586.0,24586.0,24584.0,24585.0,13,24585.5,6
2020-06-23 14:47:00,24582.0,24585.0,24582.0,24585.0,40,24584.5,11
2020-06-23 14:48:00,24584.0,24588.0,24582.0,24588.0,43,24586.1,20
2020-06-23 14:49:00,24588.0,24595.0,24588.0,24588.0,36,24591.9,14
2020-06-23 14:50:00,24585.0,24586.0,24580.0,24580.0,47,24582.9,9
2020-06-23 14:51:00,24584.0,24597.0,24584.0,24589.0,17,24591.1,7
2020-06-23 14:52:00,24584.0,24598.0,24584.0,24598.0,28,24594.8,16
2020-06-23 14:53:00,24595.0,24601.0,24594.0,24601.0,37,24598.1,7
2020-06-23 14:54:00,24601.0,24601.0,24597.0,24597.0,26,24598.8,11
2020-06-23 14:55:00,24600.0,24607.0,24600.0,24605.0,42,24604.8,19
2020-06-23 14:56:00,24608.0,24609.0,24606.0,24606.0,80,24607.8,27
2020-06-23 14:57:00,24603.0,24603.0,24598.0,24598.0,9,24600.4,5
2020-06-23 14:58:00,24599.0,24599.0,24596.0,24596.0,9,24597.6,4
2020-06-23 14:59:00,24593.0,24601.0,24592.0,24596.0,41,24598.6,8
2020-06-23 15:00:00,24594.0,24599.0,24576.0,24595.0,17,24591.4,8
2020-06-23 15:01:00,24587.0,24599.0,24586.0,24589.0,18,24590.7,7
2020-06-23 15:02:00,24588.0,24607.0,24586.0,24602.0,48,24593.4,15
